Cluster_name	Count	Max with r1	Max with_r2	Recombinant1	Recombinant2
centroid=F5_LB_1947;seqs=5;size=7;	7	7	7	0	0
centroid=F2_H_1177;seqs=1;size=1;	1	129	1	1	0
centroid=F2_H_410;seqs=2;size=2;	2	32	2	1	0
centroid=F5_LB_1127;seqs=1;size=1;	1	1	1	0	0
centroid=F4_LB_623;seqs=2;size=2;	2	33	62	1	1
centroid=F5_LB_2412;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_2524;seqs=2;size=2;	2	13	2	1	0
centroid=F1_B1_2346;seqs=14;size=61;	61	61	61	0	0
centroid=F5_LH_3114;seqs=1;size=1;	1	60	1	1	0
centroid=F2_H_1104;seqs=1;size=1;	1	54	1	1	0
centroid=F5_LB_2795;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_176;seqs=1;size=1;	1	1	1	0	0
centroid=F2_H_994;seqs=1;size=1;	1	57	3	1	1
centroid=F2_H_7;seqs=3;size=3;	3	95	28	1	1
centroid=F5_LH_4612;seqs=1;size=1;	1	30	1	1	0
centroid=F5_LB_2074;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_2465;seqs=1;size=1;	1	31	1	1	0
centroid=F3_H_2442;seqs=7;size=17;	17	17	17	0	0
centroid=F5_LH_5301;seqs=6;size=8;	8	8	8	0	0
centroid=F6_LB_5276;seqs=8;size=13;	13	13	13	0	0
centroid=F5_LH_5366;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_2998;seqs=3;size=8;	8	8	8	0	0
centroid=F5_LH_4351;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_2584;seqs=1;size=1;	1	1	4	0	1
centroid=F6_LB_6582;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_2286;seqs=5;size=10;	10	10	10	0	0
centroid=F5_LB_1890;seqs=2;size=3;	3	3	3	0	0
centroid=F6_LB_2994;seqs=2;size=2;	2	58	2	1	0
centroid=F6_LH_452;seqs=6;size=6;	6	103	6	1	0
centroid=F3_H_1872;seqs=5;size=8;	8	8	8	0	0
centroid=F2_H_126;seqs=2;size=2;	2	101	2	1	0
centroid=F6_LB_4241;seqs=2;size=2;	2	49	2	1	0
centroid=F1_B1_2164;seqs=3;size=9;	9	9	9	0	0
centroid=F5_LH_4287;seqs=1;size=1;	1	10	10	1	1
centroid=F5_LH_4103;seqs=1;size=1;	1	55	1	1	0
centroid=F6_LB_7613;seqs=1;size=1;	1	4	15	1	1
centroid=F6_LB_8103;seqs=1;size=1;	1	28	1	1	0
centroid=F5_LB_3107;seqs=2;size=3;	3	3	3	0	0
centroid=F2_H_1113;seqs=2;size=2;	2	2	55	0	1
centroid=F2_B2_189;seqs=1;size=1;	1	66	2	1	1
centroid=F6_LB_6931;seqs=5;size=5;	5	5	52	0	1
centroid=F5_LH_313;seqs=3;size=3;	3	3	3	0	0
centroid=F5_LB_2988;seqs=2;size=2;	2	2	2	0	0
centroid=F1_B1_2219;seqs=10;size=40;	40	40	40	0	0
centroid=F6_LB_2487;seqs=3;size=4;	4	4	4	0	0
centroid=F2_H_428;seqs=4;size=4;	4	78	4	1	0
centroid=F5_LH_2164;seqs=1;size=1;	1	20	1	1	0
centroid=F1_B1_2357;seqs=63;size=276;	276	276	276	0	0
centroid=F6_LB_5223;seqs=1;size=1;	1	11	1	1	0
centroid=F1_H_808;seqs=2;size=2;	2	2	112	0	1
centroid=F1_B1_2359;seqs=13;size=52;	52	52	52	0	0
centroid=F6_LB_8796;seqs=2;size=2;	2	40	2	1	0
centroid=F2_H_238;seqs=2;size=2;	2	50	2	1	0
centroid=F5_LH_3661;seqs=1;size=2;	2	2	2	0	0
centroid=F2_H_5;seqs=5;size=5;	5	157	31	1	1
centroid=F5_LH_4066;seqs=1;size=1;	1	23	9	1	1
centroid=F5_LB_1635;seqs=4;size=4;	4	4	4	0	0
centroid=F5_LB_3041;seqs=4;size=13;	13	13	13	0	0
centroid=F6_LB_4460;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_2658;seqs=3;size=5;	5	5	5	0	0
centroid=F5_LH_4160;seqs=3;size=8;	8	8	8	0	0
centroid=F6_LB_3623;seqs=1;size=1;	1	1	19	0	1
centroid=F5_LB_2355;seqs=1;size=1;	1	4	1	1	0
centroid=F4_LB_1000;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_3869;seqs=1;size=1;	1	54	1	1	0
centroid=F5_LH_5442;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_842;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_3313;seqs=2;size=2;	2	2	4	0	1
centroid=F6_LH_223;seqs=2;size=2;	2	65	2	1	0
centroid=F5_LH_3605;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3117;seqs=1;size=4;	4	4	4	0	0
centroid=F6_LB_2884;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_2844;seqs=1;size=1;	1	5	1	1	0
centroid=F5_LH_4041;seqs=1;size=1;	1	17	1	1	0
centroid=F4_LB_852;seqs=3;size=10;	10	10	10	0	0
centroid=F5_LH_3625;seqs=2;size=5;	5	5	5	0	0
centroid=F6_LB_7244;seqs=7;size=16;	16	16	16	0	0
centroid=F3_H_1972;seqs=3;size=3;	3	3	366	0	1
centroid=F6_LB_5974;seqs=2;size=2;	2	28	2	1	0
centroid=F3_H_1189;seqs=1;size=1;	1	51	1	1	0
centroid=F2_H_1091;seqs=3;size=3;	3	38	3	1	0
centroid=F5_LH_3383;seqs=2;size=2;	2	9	2	1	0
centroid=F5_LB_2152;seqs=2;size=3;	3	3	3	0	0
centroid=F2_B2_960;seqs=1;size=1;	1	15	5	1	1
centroid=F5_LB_368;seqs=3;size=3;	3	3	3	0	0
centroid=F5_LH_3907;seqs=6;size=16;	16	16	16	0	0
centroid=F5_LH_4781;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3273;seqs=2;size=3;	3	3	3	0	0
centroid=F5_LB_705;seqs=4;size=5;	5	5	5	0	0
centroid=F6_LB_6616;seqs=9;size=27;	27	27	27	0	0
centroid=F5_LB_2969;seqs=1;size=4;	4	4	4	0	0
centroid=F6_LB_4576;seqs=1;size=1;	1	2	29	1	1
centroid=F5_LH_2160;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3512;seqs=2;size=3;	3	3	3	0	0
centroid=F5_LH_3355;seqs=1;size=1;	1	3	1	1	0
centroid=F5_LB_2877;seqs=1;size=1;	1	4	1	1	0
centroid=F5_LH_4686;seqs=1;size=1;	1	89	1	1	0
centroid=F6_LB_1529;seqs=8;size=8;	8	29	39	1	1
centroid=F3_B2_234;seqs=1;size=1;	1	46	3	1	1
centroid=F6_LH_7052;seqs=29;size=93;	93	93	93	0	0
centroid=F5_LB_12;seqs=2;size=4;	4	4	4	0	0
centroid=F6_LH_7189;seqs=27;size=77;	77	77	77	0	0
centroid=F6_LB_9840;seqs=1;size=1;	1	29	1	1	0
centroid=F5_LB_2308;seqs=2;size=2;	2	2	2	0	0
centroid=F6_LB_6532;seqs=11;size=34;	34	34	34	0	0
centroid=F6_LB_7006;seqs=8;size=12;	12	12	12	0	0
centroid=F4_LH_637;seqs=15;size=38;	38	38	38	0	0
centroid=F5_LH_547;seqs=1;size=1;	1	22	1	1	0
centroid=F5_LB_3135;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LH_4557;seqs=1;size=1;	1	1	7	0	1
centroid=F5_LH_396;seqs=1;size=1;	1	14	1	1	0
centroid=F5_LH_1019;seqs=2;size=3;	3	3	3	0	0
centroid=F5_LH_2855;seqs=3;size=3;	3	3	3	0	0
centroid=F5_LH_3947;seqs=6;size=15;	15	15	15	0	0
centroid=F5_LH_669;seqs=2;size=2;	2	46	2	1	0
centroid=F4_LH_597;seqs=5;size=10;	10	10	10	0	0
centroid=F6_LH_7030;seqs=47;size=107;	107	107	107	0	0
centroid=F2_H_856;seqs=1;size=1;	1	83	1	1	0
centroid=F5_LH_5243;seqs=5;size=6;	6	6	6	0	0
centroid=F3_H_1528;seqs=3;size=11;	11	11	11	0	0
centroid=F5_LB_1828;seqs=2;size=2;	2	2	2	0	0
centroid=F2_B2_784;seqs=1;size=1;	1	7	1	1	0
centroid=F6_LB_6363;seqs=2;size=2;	2	29	2	1	0
centroid=F5_LH_3732;seqs=1;size=1;	1	55	14	1	1
centroid=F6_LH_9976;seqs=5;size=5;	5	38	5	1	0
centroid=F5_LB_541;seqs=1;size=3;	3	3	3	0	0
centroid=F6_LB_4932;seqs=1;size=1;	1	2	1	1	0
centroid=F5_LH_4814;seqs=2;size=6;	6	6	6	0	0
centroid=F2_B2_217;seqs=1;size=1;	1	1	1	0	0
centroid=F2_H_719;seqs=4;size=4;	4	157	4	1	0
centroid=F6_LB_3575;seqs=1;size=1;	1	4	23	1	1
centroid=F5_LH_4289;seqs=9;size=18;	18	18	18	0	0
centroid=F5_LB_2194;seqs=2;size=5;	5	5	5	0	0
centroid=F5_LB_2405;seqs=3;size=5;	5	5	5	0	0
centroid=F4_LB_678;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LH_951;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LB_1731;seqs=4;size=23;	23	23	23	0	0
centroid=F2_B2_7;seqs=1;size=1;	1	17	7	1	1
centroid=F6_LH_2948;seqs=1;size=1;	1	1	1	0	0
centroid=F2_B2_888;seqs=1;size=1;	1	7	3	1	1
centroid=F5_LB_1873;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_4297;seqs=3;size=7;	7	7	7	0	0
centroid=F6_LB_2898;seqs=2;size=2;	2	4	2	1	0
centroid=F6_LB_7587;seqs=1;size=1;	1	4	1	1	0
centroid=F6_LB_5383;seqs=10;size=21;	21	21	21	0	0
centroid=F5_LH_1154;seqs=2;size=2;	2	13	2	1	0
centroid=F5_LH_290;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LH_5161;seqs=1;size=1;	1	65	1	1	0
centroid=F1_B1_1872;seqs=2;size=4;	4	4	4	0	0
centroid=F5_LB_233;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LB_2605;seqs=3;size=4;	4	4	4	0	0
centroid=F5_LH_3800;seqs=1;size=1;	1	9	8	1	1
centroid=F5_LB_934;seqs=3;size=4;	4	4	4	0	0
centroid=F2_H_181;seqs=4;size=4;	4	60	4	1	0
centroid=F6_LH_201;seqs=6;size=6;	6	111	71	1	1
centroid=F5_LB_3311;seqs=4;size=8;	8	8	8	0	0
centroid=F5_LH_261;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_2965;seqs=3;size=6;	6	6	6	0	0
centroid=F6_LB_7152;seqs=11;size=30;	30	30	30	0	0
centroid=F5_LH_4214;seqs=4;size=13;	13	13	13	0	0
centroid=F6_LB_4916;seqs=5;size=5;	5	30	5	1	0
centroid=F5_LB_1029;seqs=2;size=2;	2	4	2	1	0
centroid=F5_LB_912;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_1976;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LH_4199;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LB_1656;seqs=2;size=4;	4	4	4	0	0
centroid=F2_H_1096;seqs=3;size=3;	3	157	3	1	0
centroid=F2_H_625;seqs=2;size=2;	2	79	2	1	0
centroid=F2_H_873;seqs=4;size=4;	4	4	47	0	1
centroid=F5_LB_1799;seqs=1;size=1;	1	1	8	0	1
centroid=F5_LB_2008;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_5411;seqs=2;size=6;	6	6	6	0	0
centroid=F3_H_1905;seqs=5;size=24;	24	24	24	0	0
centroid=F5_LH_3689;seqs=1;size=1;	1	13	1	1	0
centroid=F5_LB_1072;seqs=1;size=1;	1	10	1	1	0
centroid=F6_LB_9054;seqs=1;size=1;	1	23	33	1	1
centroid=F5_LB_2777;seqs=3;size=4;	4	4	4	0	0
centroid=F5_LB_358;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_1332;seqs=2;size=2;	2	2	4	0	1
centroid=F6_LH_7089;seqs=12;size=38;	38	38	38	0	0
centroid=F6_LB_2639;seqs=7;size=7;	7	9	47	1	1
centroid=F6_LH_8582;seqs=3;size=3;	3	41	91	1	1
centroid=F2_H_886;seqs=1;size=1;	1	107	36	1	1
centroid=F2_H_263;seqs=3;size=3;	3	93	10	1	1
centroid=F5_LH_3753;seqs=7;size=15;	15	15	15	0	0
centroid=F5_LH_3624;seqs=5;size=10;	10	10	10	0	0
centroid=F5_LH_1048;seqs=2;size=2;	2	2	15	0	1
centroid=F6_LB_6647;seqs=17;size=47;	47	47	47	0	0
centroid=F2_H_1089;seqs=1;size=1;	1	38	32	1	1
centroid=F3_H_1892;seqs=20;size=88;	88	88	88	0	0
centroid=F6_LB_6971;seqs=12;size=33;	33	33	33	0	0
centroid=F2_B2_198;seqs=1;size=1;	1	12	1	1	0
centroid=F6_LB_6584;seqs=13;size=28;	28	28	28	0	0
centroid=F2_H_907;seqs=3;size=3;	3	36	3	1	0
centroid=F6_LH_6968;seqs=28;size=84;	84	84	84	0	0
centroid=F5_LH_1927;seqs=2;size=2;	2	2	2	0	0
centroid=F6_LB_1858;seqs=5;size=5;	5	44	5	1	0
centroid=F5_LB_2032;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_6461;seqs=1;size=1;	1	55	1	1	0
centroid=F4_LB_818;seqs=20;size=57;	57	57	57	0	0
centroid=F6_LH_324;seqs=4;size=4;	4	4	91	0	1
centroid=F4_LH_70;seqs=5;size=5;	5	100	5	1	0
centroid=F2_B2_929;seqs=1;size=1;	1	11	1	1	0
centroid=F2_H_701;seqs=1;size=1;	1	79	6	1	1
centroid=F5_LB_3300;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_1106;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_2157;seqs=3;size=5;	5	5	5	0	0
centroid=F6_LH_460;seqs=8;size=8;	8	103	8	1	0
centroid=F6_LB_5184;seqs=1;size=1;	1	15	1	1	0
centroid=F6_LB_6907;seqs=4;size=10;	10	10	10	0	0
centroid=F5_LB_1751;seqs=3;size=4;	4	4	4	0	0
centroid=F5_LH_3690;seqs=2;size=4;	4	4	4	0	0
centroid=F6_LH_7049;seqs=28;size=77;	77	77	77	0	0
centroid=F5_LB_2827;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_6772;seqs=11;size=27;	27	27	27	0	0
centroid=F5_LH_1269;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_516;seqs=2;size=2;	2	2	55	0	1
centroid=F6_LB_9759;seqs=1;size=1;	1	1	12	0	1
centroid=F1_B1_2266;seqs=5;size=12;	12	12	12	0	0
centroid=F2_B2_1243;seqs=1;size=1;	1	20	12	1	1
centroid=F5_LB_1018;seqs=1;size=1;	1	8	1	1	0
centroid=F5_LB_2144;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_3021;seqs=2;size=4;	4	4	4	0	0
centroid=F6_LH_7164;seqs=25;size=84;	84	84	84	0	0
centroid=F5_LH_1875;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_2915;seqs=2;size=2;	2	32	2	1	0
centroid=F1_H_1212;seqs=3;size=8;	8	8	8	0	0
centroid=F6_LB_5926;seqs=4;size=5;	5	5	5	0	0
centroid=F5_LH_4124;seqs=5;size=10;	10	10	10	0	0
centroid=F5_LH_4842;seqs=3;size=5;	5	5	5	0	0
centroid=F6_LH_5719;seqs=14;size=24;	24	24	24	0	0
centroid=F3_H_2619;seqs=1;size=4;	4	4	4	0	0
centroid=F5_LH_401;seqs=3;size=6;	6	6	6	0	0
centroid=F6_LB_1606;seqs=1;size=1;	1	18	51	1	1
centroid=F6_LB_9496;seqs=2;size=2;	2	7	2	1	0
centroid=F6_LH_7708;seqs=4;size=13;	13	13	13	0	0
centroid=F5_LB_3109;seqs=1;size=1;	1	4	2	1	1
centroid=F2_B2_157;seqs=1;size=1;	1	33	1	1	0
centroid=F6_LB_6182;seqs=1;size=1;	1	1	1	0	0
centroid=F2_B2_736;seqs=1;size=1;	1	9	1	1	0
centroid=F2_B2_329;seqs=1;size=1;	1	8	1	1	0
centroid=F6_LH_6988;seqs=12;size=20;	20	20	20	0	0
centroid=F5_LH_4167;seqs=3;size=7;	7	7	7	0	0
centroid=F5_LH_2000;seqs=1;size=1;	1	1	1	0	0
centroid=F2_H_594;seqs=3;size=3;	3	38	3	1	0
centroid=F5_LB_1725;seqs=2;size=5;	5	5	5	0	0
centroid=F6_LH_5361;seqs=1;size=1;	1	261	1	1	0
centroid=F2_B2_140;seqs=1;size=1;	1	13	1	1	0
centroid=F1_B1_3194;seqs=1;size=1;	1	53	75	1	1
centroid=F2_B2_197;seqs=3;size=3;	3	3	3	0	0
centroid=F5_LB_2780;seqs=1;size=1;	1	1	1	0	0
centroid=F2_H_954;seqs=1;size=1;	1	50	1	1	0
centroid=F5_LH_3694;seqs=3;size=3;	3	3	3	0	0
centroid=F5_LH_3896;seqs=1;size=8;	8	8	8	0	0
centroid=F5_LH_3579;seqs=2;size=2;	2	17	2	1	0
centroid=F5_LB_2235;seqs=2;size=2;	2	2	2	0	0
centroid=F2_H_658;seqs=2;size=2;	2	2	39	0	1
centroid=F6_LB_7381;seqs=8;size=25;	25	25	25	0	0
centroid=F2_H_667;seqs=1;size=1;	1	48	1	1	0
centroid=F2_H_728;seqs=2;size=2;	2	2	24	0	1
centroid=F5_LB_1306;seqs=3;size=3;	3	3	3	0	0
centroid=F3_H_1569;seqs=1;size=1;	1	243	1	1	0
centroid=F5_LB_1143;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_5327;seqs=2;size=4;	4	4	4	0	0
centroid=F6_LH_5919;seqs=3;size=3;	3	24	48	1	1
centroid=F6_LH_7068;seqs=37;size=111;	111	111	111	0	0
centroid=F5_LH_3474;seqs=2;size=3;	3	3	3	0	0
centroid=F3_H_1965;seqs=27;size=93;	93	93	93	0	0
centroid=F6_LH_8374;seqs=3;size=3;	3	106	80	1	1
centroid=F5_LH_4911;seqs=3;size=11;	11	11	11	0	0
centroid=F2_B2_723;seqs=2;size=2;	2	21	2	1	0
centroid=F2_H_979;seqs=1;size=1;	1	65	1	1	0
centroid=F1_H_888;seqs=1;size=1;	1	5	1	1	0
centroid=F5_LH_608;seqs=3;size=6;	6	6	6	0	0
centroid=F6_LH_6234;seqs=2;size=2;	2	2	2	0	0
centroid=F6_LB_4832;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LH_3399;seqs=2;size=3;	3	3	3	0	0
centroid=F5_LH_567;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_9234;seqs=6;size=6;	6	50	6	1	0
centroid=F6_LH_727;seqs=1;size=1;	1	77	1	1	0
centroid=F5_LH_5052;seqs=3;size=3;	3	3	3	0	0
centroid=F6_LH_4217;seqs=2;size=2;	2	91	2	1	0
centroid=F6_LB_6594;seqs=6;size=9;	9	9	9	0	0
centroid=F5_LH_311;seqs=1;size=1;	1	44	15	1	1
centroid=F5_LH_3710;seqs=5;size=10;	10	10	10	0	0
centroid=F5_LB_1647;seqs=1;size=1;	1	6	1	1	0
centroid=F5_LB_2392;seqs=4;size=8;	8	8	8	0	0
centroid=F6_LH_7133;seqs=21;size=48;	48	48	48	0	0
centroid=F4_LH_4;seqs=1;size=1;	1	48	1	1	0
centroid=F6_LB_7227;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_6163;seqs=2;size=2;	2	26	2	1	0
centroid=F5_LH_405;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_5057;seqs=1;size=1;	1	1	3	0	1
centroid=F5_LB_2468;seqs=1;size=1;	1	4	1	1	0
centroid=F2_H_380;seqs=5;size=5;	5	71	5	1	0
centroid=F3_H_883;seqs=2;size=2;	2	2	155	0	1
centroid=F6_LH_8715;seqs=4;size=4;	4	93	114	1	1
centroid=F5_LH_3556;seqs=5;size=8;	8	8	8	0	0
centroid=F5_LH_2954;seqs=1;size=1;	1	14	12	1	1
centroid=F5_LB_76;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_6070;seqs=4;size=4;	4	19	4	1	0
centroid=F5_LB_2669;seqs=1;size=1;	1	3	3	1	1
centroid=F6_LB_304;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_3033;seqs=3;size=4;	4	4	4	0	0
centroid=F2_H_875;seqs=4;size=4;	4	74	4	1	0
centroid=F6_LB_6551;seqs=7;size=26;	26	26	26	0	0
centroid=F1_B1_2231;seqs=24;size=71;	71	71	71	0	0
centroid=F2_B2_256;seqs=2;size=2;	2	2	6	0	1
centroid=F2_H_183;seqs=3;size=3;	3	16	3	1	0
centroid=F6_LB_3745;seqs=11;size=11;	11	11	66	0	1
centroid=F5_LB_3332;seqs=3;size=5;	5	5	5	0	0
centroid=F6_LH_3048;seqs=3;size=3;	3	93	3	1	0
centroid=F4_LH_673;seqs=4;size=6;	6	6	6	0	0
centroid=F2_B2_1005;seqs=1;size=1;	1	1	18	0	1
centroid=F1_H_1869;seqs=1;size=1;	1	1	78	0	1
centroid=F6_LB_8466;seqs=1;size=1;	1	48	1	1	0
centroid=F6_LB_4045;seqs=4;size=4;	4	55	4	1	0
centroid=F6_LB_584;seqs=1;size=1;	1	1	5	0	1
centroid=F5_LH_1601;seqs=1;size=1;	1	3	1	1	0
centroid=F5_LB_3191;seqs=2;size=5;	5	5	5	0	0
centroid=F5_LB_2120;seqs=3;size=5;	5	5	5	0	0
centroid=F5_LB_2854;seqs=2;size=3;	3	3	3	0	0
centroid=F5_LH_1148;seqs=1;size=1;	1	42	51	1	1
centroid=F2_H_787;seqs=1;size=1;	1	90	36	1	1
centroid=F6_LB_9517;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LB_1899;seqs=2;size=3;	3	3	3	0	0
centroid=F6_LB_2158;seqs=1;size=1;	1	11	1	1	0
centroid=F5_LH_4678;seqs=2;size=2;	2	16	2	1	0
centroid=F6_LB_2083;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_885;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_8311;seqs=1;size=1;	1	86	1	1	0
centroid=F2_B2_1166;seqs=1;size=1;	1	13	4	1	1
centroid=F5_LB_3051;seqs=4;size=8;	8	8	8	0	0
centroid=F5_LB_2906;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LB_3024;seqs=2;size=2;	2	2	2	0	0
centroid=F6_LB_7937;seqs=4;size=4;	4	46	4	1	0
centroid=F3_H_1969;seqs=3;size=11;	11	11	11	0	0
centroid=F5_LH_301;seqs=1;size=1;	1	6	1	1	0
centroid=F5_LB_3263;seqs=4;size=5;	5	5	5	0	0
centroid=F5_LB_3053;seqs=1;size=1;	1	1	1	0	0
centroid=F4_LH_740;seqs=5;size=5;	5	5	31	0	1
centroid=F2_B2_227;seqs=2;size=2;	2	13	2	1	0
centroid=F3_H_1903;seqs=1;size=1;	1	97	1	1	0
centroid=F5_LB_2049;seqs=2;size=5;	5	5	5	0	0
centroid=F6_LH_9856;seqs=1;size=1;	1	111	26	1	1
centroid=F6_LB_1276;seqs=7;size=9;	9	66	9	1	0
centroid=F5_LB_136;seqs=1;size=3;	3	3	3	0	0
centroid=F6_LH_8747;seqs=1;size=4;	4	4	4	0	0
centroid=F5_LB_2006;seqs=2;size=3;	3	3	3	0	0
centroid=F3_H_706;seqs=2;size=2;	2	273	2	1	0
centroid=F5_LB_2288;seqs=1;size=1;	1	1	1	0	0
centroid=F1_H_1253;seqs=1;size=1;	1	1	84	0	1
centroid=F2_H_624;seqs=1;size=1;	1	41	55	1	1
centroid=F6_LB_1327;seqs=7;size=10;	10	10	10	0	0
centroid=F5_LB_463;seqs=1;size=1;	1	1	1	0	0
centroid=F1_H_1762;seqs=1;size=1;	1	1	62	0	1
centroid=F6_LH_8556;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_4058;seqs=1;size=1;	1	4	9	1	1
centroid=F2_H_668;seqs=2;size=2;	2	106	2	1	0
centroid=F5_LB_2747;seqs=1;size=2;	2	2	2	0	0
centroid=F2_H_36;seqs=2;size=2;	2	2	19	0	1
centroid=F6_LB_3359;seqs=3;size=3;	3	42	44	1	1
centroid=F2_B2_1236;seqs=1;size=1;	1	14	1	1	0
centroid=F5_LB_1262;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3931;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3812;seqs=6;size=20;	20	20	20	0	0
centroid=F1_B1_121;seqs=1;size=1;	1	272	1	1	0
centroid=F5_LH_2767;seqs=1;size=1;	1	1	7	0	1
centroid=F5_LB_2233;seqs=2;size=3;	3	3	3	0	0
centroid=F5_LH_607;seqs=3;size=4;	4	4	4	0	0
centroid=F6_LB_9033;seqs=5;size=5;	5	5	46	0	1
centroid=F5_LB_2471;seqs=1;size=1;	1	7	1	1	0
centroid=F6_LH_1174;seqs=1;size=1;	1	99	1	1	0
centroid=F5_LH_1852;seqs=1;size=1;	1	12	19	1	1
centroid=F6_LB_1200;seqs=1;size=1;	1	6	1	1	0
centroid=F6_LB_5446;seqs=3;size=3;	3	44	43	1	1
centroid=F4_LB_1078;seqs=5;size=5;	5	5	5	0	0
centroid=F5_LB_2215;seqs=3;size=5;	5	5	5	0	0
centroid=F5_LB_1397;seqs=1;size=1;	1	1	1	0	0
centroid=F2_B2_144;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3677;seqs=3;size=4;	4	4	4	0	0
centroid=F1_B1_2414;seqs=1;size=5;	5	5	5	0	0
centroid=F5_LH_1745;seqs=2;size=2;	2	2	2	0	0
centroid=F6_LB_4341;seqs=1;size=1;	1	4	1	1	0
centroid=F5_LB_1987;seqs=2;size=2;	2	2	2	0	0
centroid=F2_H_1169;seqs=5;size=5;	5	95	65	1	1
centroid=F2_H_531;seqs=3;size=3;	3	3	55	0	1
centroid=F6_LB_6927;seqs=2;size=2;	2	26	2	1	0
centroid=F5_LH_940;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_4639;seqs=4;size=8;	8	8	8	0	0
centroid=F5_LH_4526;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LH_4092;seqs=3;size=12;	12	12	12	0	0
centroid=F6_LB_65;seqs=2;size=2;	2	37	2	1	0
centroid=F1_B1_2821;seqs=1;size=1;	1	89	70	1	1
centroid=F3_H_265;seqs=1;size=1;	1	6	31	1	1
centroid=F5_LB_735;seqs=5;size=5;	5	5	5	0	0
centroid=F5_LH_310;seqs=1;size=1;	1	46	1	1	0
centroid=F2_H_710;seqs=5;size=5;	5	151	5	1	0
centroid=F6_LB_6358;seqs=20;size=44;	44	44	44	0	0
centroid=F5_LB_254;seqs=1;size=1;	1	1	1	0	0
centroid=F1_H_419;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_2141;seqs=1;size=1;	1	7	1	1	0
centroid=F6_LB_7;seqs=5;size=5;	5	54	5	1	0
centroid=F6_LH_2179;seqs=1;size=1;	1	157	1	1	0
centroid=F4_LB_1184;seqs=2;size=2;	2	2	2	0	0
centroid=F6_LB_6167;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LH_1361;seqs=1;size=1;	1	1	1	0	0
centroid=F2_B2_831;seqs=39;size=174;	174	174	174	0	0
centroid=F5_LH_4367;seqs=1;size=1;	1	1	1	0	0
centroid=F1_H_719;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_2617;seqs=6;size=6;	6	112	6	1	0
centroid=F5_LH_5272;seqs=2;size=2;	2	2	2	0	0
centroid=F2_H_232;seqs=4;size=4;	4	84	4	1	0
centroid=F2_H_884;seqs=1;size=1;	1	4	28	1	1
centroid=F1_B1_2321;seqs=35;size=149;	149	149	149	0	0
