Cluster_name	Count	Max with r1	Max with_r2	Recombinant1	Recombinant2
centroid=F5_LH_3281;seqs=1;size=1;	1	1	3	0	1
centroid=F5_LB_2811;seqs=1;size=3;	3	3	3	0	0
centroid=F6_LH_6260;seqs=1;size=1;	1	73	1	1	0
centroid=F5_LH_4285;seqs=7;size=11;	11	11	11	0	0
centroid=F6_LB_6424;seqs=10;size=31;	31	31	31	0	0
centroid=F5_LB_3210;seqs=2;size=2;	2	5	2	1	0
centroid=F5_LH_4185;seqs=10;size=24;	24	24	24	0	0
centroid=F2_B2_645;seqs=1;size=1;	1	56	1	1	0
centroid=F2_H_1031;seqs=6;size=6;	6	79	6	1	0
centroid=F6_LB_6548;seqs=19;size=36;	36	36	36	0	0
centroid=F5_LB_1742;seqs=3;size=7;	7	7	7	0	0
centroid=F6_LB_6919;seqs=10;size=29;	29	29	29	0	0
centroid=F2_H_763;seqs=1;size=1;	1	86	44	1	1
centroid=F6_LB_1996;seqs=1;size=1;	1	33	1	1	0
centroid=F5_LB_2017;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3037;seqs=1;size=1;	1	11	1	1	0
centroid=F6_LB_2698;seqs=2;size=2;	2	2	29	0	1
centroid=F4_LB_336;seqs=1;size=1;	1	62	1	1	0
centroid=F5_LB_2377;seqs=1;size=3;	3	3	3	0	0
centroid=F6_LB_7452;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_3448;seqs=3;size=3;	3	3	3	0	0
centroid=F4_LH_870;seqs=1;size=1;	1	100	26	1	1
centroid=F6_LB_5591;seqs=8;size=8;	8	44	64	1	1
centroid=F2_B2_802;seqs=1;size=1;	1	10	4	1	1
centroid=F6_LH_418;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_7017;seqs=1;size=1;	1	56	1	1	0
centroid=F2_H_28;seqs=1;size=1;	1	107	1	1	0
centroid=F6_LH_7090;seqs=5;size=13;	13	13	13	0	0
centroid=F3_H_1973;seqs=9;size=32;	32	32	32	0	0
centroid=F2_H_206;seqs=1;size=1;	1	106	1	1	0
centroid=F6_LB_9136;seqs=1;size=1;	1	58	1	1	0
centroid=F5_LH_3709;seqs=3;size=5;	5	5	5	0	0
centroid=F5_LB_2809;seqs=4;size=6;	6	6	6	0	0
centroid=F5_LH_3801;seqs=3;size=10;	10	10	10	0	0
centroid=F5_LB_2121;seqs=3;size=4;	4	4	4	0	0
centroid=F5_LB_3114;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LH_4097;seqs=6;size=7;	7	7	7	0	0
centroid=F5_LB_819;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LH_5428;seqs=1;size=2;	2	2	2	0	0
centroid=F6_LB_6206;seqs=8;size=20;	20	20	20	0	0
centroid=F5_LH_5032;seqs=4;size=6;	6	6	6	0	0
centroid=F5_LH_2611;seqs=2;size=2;	2	5	2	1	0
centroid=F5_LH_4018;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_84;seqs=1;size=1;	1	4	1	1	0
centroid=F5_LH_2900;seqs=3;size=9;	9	9	9	0	0
centroid=F5_LB_3029;seqs=7;size=11;	11	11	11	0	0
centroid=F2_H_917;seqs=1;size=1;	1	34	1	1	0
centroid=F6_LB_4599;seqs=1;size=1;	1	186	1	1	0
centroid=F5_LH_612;seqs=1;size=1;	1	5	1	1	0
centroid=F5_LB_1565;seqs=3;size=3;	3	3	3	0	0
centroid=F5_LH_4308;seqs=5;size=13;	13	13	13	0	0
centroid=F2_H_1200;seqs=3;size=3;	3	77	3	1	0
centroid=F1_H_169;seqs=1;size=1;	1	5	1	1	0
centroid=F2_H_48;seqs=2;size=2;	2	62	2	1	0
centroid=F1_H_1268;seqs=85;size=387;	387	387	387	0	0
centroid=F5_LB_2025;seqs=3;size=6;	6	6	6	0	0
centroid=F1_B1_3025;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_7353;seqs=8;size=22;	22	22	22	0	0
centroid=F5_LB_728;seqs=1;size=1;	1	2	1	1	0
centroid=F5_LB_664;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_2558;seqs=1;size=1;	1	32	107	1	1
centroid=F5_LB_2473;seqs=5;size=7;	7	7	7	0	0
centroid=F5_LB_540;seqs=1;size=1;	1	1	1	0	0
centroid=F1_B1_3360;seqs=1;size=1;	1	30	1	1	0
centroid=F1_B1_2350;seqs=19;size=59;	59	59	59	0	0
centroid=F5_LH_3482;seqs=1;size=10;	10	10	10	0	0
centroid=F2_B2_1199;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_1035;seqs=1;size=1;	1	9	1	1	0
centroid=F6_LB_8365;seqs=3;size=7;	7	7	7	0	0
centroid=F5_LB_2352;seqs=1;size=1;	1	6	4	1	1
centroid=F6_LB_9153;seqs=1;size=1;	1	56	1	1	0
centroid=F5_LB_494;seqs=4;size=4;	4	4	4	0	0
centroid=F6_LB_9143;seqs=1;size=1;	1	3	1	1	0
centroid=F5_LH_5569;seqs=2;size=2;	2	2	2	0	0
centroid=F5_LB_2257;seqs=6;size=11;	11	11	11	0	0
centroid=F5_LH_2640;seqs=2;size=2;	2	3	2	1	0
centroid=F5_LH_4071;seqs=7;size=10;	10	10	10	0	0
centroid=F6_LB_1469;seqs=3;size=3;	3	26	16	1	1
centroid=F6_LH_4586;seqs=2;size=2;	2	34	2	1	0
centroid=F5_LB_404;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_2502;seqs=2;size=2;	2	2	2	0	0
centroid=F2_B2_1142;seqs=1;size=1;	1	1	5	0	1
centroid=F6_LB_2628;seqs=1;size=1;	1	39	1	1	0
centroid=F5_LH_526;seqs=6;size=7;	7	7	7	0	0
centroid=F5_LH_1247;seqs=4;size=8;	8	8	8	0	0
centroid=F5_LB_2765;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_4432;seqs=2;size=2;	2	36	2	1	0
centroid=F6_LH_6783;seqs=16;size=40;	40	40	40	0	0
centroid=F5_LB_3098;seqs=4;size=7;	7	7	7	0	0
centroid=F2_B2_210;seqs=1;size=1;	1	11	1	1	0
centroid=F6_LH_6966;seqs=31;size=100;	100	100	100	0	0
centroid=F6_LB_3891;seqs=4;size=4;	4	58	4	1	0
centroid=F6_LB_1493;seqs=3;size=3;	3	3	64	0	1
centroid=F5_LB_2169;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LH_2707;seqs=1;size=1;	1	9	3	1	1
centroid=F3_H_2636;seqs=4;size=12;	12	12	12	0	0
centroid=F2_H_396;seqs=1;size=1;	1	32	1	1	0
centroid=F2_H_1167;seqs=1;size=1;	1	54	16	1	1
centroid=F5_LB_2202;seqs=3;size=7;	7	7	7	0	0
centroid=F5_LH_5457;seqs=1;size=1;	1	22	1	1	0
centroid=F5_LH_5615;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_5829;seqs=1;size=1;	1	1	36	0	1
centroid=F2_H_406;seqs=4;size=4;	4	109	23	1	1
centroid=F5_LB_1797;seqs=4;size=10;	10	10	10	0	0
centroid=F6_LB_2503;seqs=1;size=1;	1	1	1	0	0
centroid=F2_H_209;seqs=5;size=5;	5	45	5	1	0
centroid=F6_LH_1612;seqs=7;size=7;	7	64	129	1	1
centroid=F5_LB_3199;seqs=3;size=4;	4	4	4	0	0
centroid=F2_H_125;seqs=9;size=9;	9	89	54	1	1
centroid=F5_LB_1982;seqs=2;size=4;	4	4	4	0	0
centroid=F2_H_43;seqs=1;size=1;	1	1	89	0	1
centroid=F5_LB_969;seqs=1;size=1;	1	1	1	0	0
centroid=F2_H_464;seqs=2;size=2;	2	71	11	1	1
centroid=F3_H_322;seqs=2;size=2;	2	71	2	1	0
centroid=F5_LB_2220;seqs=2;size=5;	5	5	5	0	0
centroid=F6_LB_5381;seqs=13;size=31;	31	31	31	0	0
centroid=F5_LH_2871;seqs=1;size=1;	1	4	1	1	0
centroid=F6_LB_6394;seqs=1;size=1;	1	39	1	1	0
centroid=F5_LH_5111;seqs=2;size=5;	5	5	5	0	0
centroid=F4_LB_1136;seqs=1;size=1;	1	99	157	1	1
centroid=F6_LB_6658;seqs=18;size=39;	39	39	39	0	0
centroid=F5_LB_922;seqs=1;size=1;	1	1	1	0	0
centroid=F2_H_100;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_1362;seqs=6;size=6;	6	36	6	1	0
centroid=F2_B2_467;seqs=1;size=1;	1	23	2	1	1
centroid=F1_B1_2064;seqs=8;size=17;	17	17	17	0	0
centroid=F1_B1_215;seqs=1;size=1;	1	137	1	1	0
centroid=F5_LH_1087;seqs=5;size=6;	6	6	6	0	0
centroid=F5_LH_5316;seqs=1;size=9;	9	9	9	0	0
centroid=F5_LH_4793;seqs=3;size=4;	4	4	4	0	0
centroid=F5_LH_3005;seqs=2;size=6;	6	6	6	0	0
centroid=F6_LH_2973;seqs=2;size=2;	2	2	167	0	1
centroid=F5_LH_3915;seqs=3;size=9;	9	9	9	0	0
centroid=F6_LH_4320;seqs=4;size=4;	4	73	4	1	0
centroid=F6_LH_7046;seqs=16;size=47;	47	47	47	0	0
centroid=F4_LB_1205;seqs=4;size=4;	4	23	4	1	0
centroid=F3_H_269;seqs=1;size=1;	1	49	14	1	1
centroid=F6_LB_9633;seqs=1;size=1;	1	29	1	1	0
centroid=F5_LB_2931;seqs=3;size=6;	6	6	6	0	0
centroid=F5_LH_5649;seqs=3;size=7;	7	7	7	0	0
centroid=F6_LH_5462;seqs=1;size=1;	1	84	1	1	0
centroid=F5_LH_3827;seqs=1;size=2;	2	2	2	0	0
centroid=F2_H_87;seqs=7;size=7;	7	83	7	1	0
centroid=F3_H_1957;seqs=18;size=53;	53	53	53	0	0
centroid=F5_LH_4843;seqs=2;size=2;	2	2	3	0	1
centroid=F6_LB_8546;seqs=2;size=2;	2	11	2	1	0
centroid=F5_LH_4866;seqs=3;size=5;	5	5	5	0	0
centroid=F5_LH_5470;seqs=4;size=6;	6	6	6	0	0
centroid=F2_B2_1002;seqs=1;size=1;	1	68	1	1	0
centroid=F3_H_1906;seqs=37;size=107;	107	107	107	0	0
centroid=F6_LB_5110;seqs=5;size=19;	19	19	19	0	0
centroid=F5_LH_2625;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_1990;seqs=1;size=4;	4	4	4	0	0
centroid=F2_B2_884;seqs=8;size=25;	25	25	25	0	0
centroid=F6_LB_6630;seqs=7;size=24;	24	24	24	0	0
centroid=F5_LB_790;seqs=2;size=2;	2	2	2	0	0
centroid=F6_LH_10268;seqs=1;size=1;	1	60	1	1	0
centroid=F5_LH_5268;seqs=1;size=1;	1	6	5	1	1
centroid=F5_LH_424;seqs=4;size=4;	4	4	4	0	0
centroid=F2_B2_716;seqs=1;size=1;	1	13	2	1	1
centroid=F5_LH_4006;seqs=4;size=7;	7	7	7	0	0
centroid=F6_LB_6644;seqs=21;size=39;	39	39	39	0	0
centroid=F6_LB_390;seqs=4;size=4;	4	4	6	0	1
centroid=F2_H_1119;seqs=2;size=2;	2	2	17	0	1
centroid=F2_H_479;seqs=2;size=2;	2	37	2	1	0
centroid=F5_LH_98;seqs=3;size=3;	3	18	3	1	0
centroid=F3_H_2202;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_3715;seqs=1;size=3;	3	3	3	0	0
centroid=F2_H_644;seqs=7;size=7;	7	102	7	1	0
centroid=F2_H_1028;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3899;seqs=5;size=10;	10	10	10	0	0
centroid=F5_LH_4302;seqs=2;size=5;	5	5	5	0	0
centroid=F1_H_1032;seqs=1;size=1;	1	1	71	0	1
centroid=F6_LH_6666;seqs=1;size=1;	1	59	100	1	1
centroid=F2_H_617;seqs=1;size=1;	1	5	1	1	0
centroid=F6_LB_6295;seqs=14;size=31;	31	31	31	0	0
centroid=F5_LB_1426;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_2299;seqs=1;size=1;	1	28	1	1	0
centroid=F5_LH_5124;seqs=3;size=4;	4	4	4	0	0
centroid=F6_LB_8041;seqs=1;size=1;	1	13	1	1	0
centroid=F6_LB_4490;seqs=1;size=1;	1	1	12	0	1
centroid=F6_LH_7034;seqs=40;size=176;	176	176	176	0	0
centroid=F2_H_654;seqs=1;size=1;	1	68	49	1	1
centroid=F5_LH_5033;seqs=3;size=6;	6	6	6	0	0
centroid=F2_H_725;seqs=3;size=3;	3	73	3	1	0
centroid=F6_LH_7398;seqs=1;size=1;	1	100	1	1	0
centroid=F5_LH_944;seqs=1;size=1;	1	11	10	1	1
centroid=F1_H_1880;seqs=3;size=3;	3	3	79	0	1
centroid=F5_LH_3847;seqs=1;size=6;	6	6	6	0	0
centroid=F6_LB_7301;seqs=20;size=66;	66	66	66	0	0
centroid=F5_LH_3319;seqs=4;size=6;	6	6	6	0	0
centroid=F5_LH_773;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_5312;seqs=1;size=1;	1	16	34	1	1
centroid=F2_H_220;seqs=2;size=2;	2	38	2	1	0
centroid=F5_LH_2552;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_8137;seqs=9;size=9;	9	58	29	1	1
centroid=F6_LB_6336;seqs=1;size=1;	1	28	1	1	0
centroid=F5_LB_1727;seqs=5;size=13;	13	13	13	0	0
centroid=F5_LH_4412;seqs=4;size=5;	5	5	5	0	0
centroid=F1_H_1385;seqs=1;size=1;	1	3	77	1	1
centroid=F5_LH_4972;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_5404;seqs=21;size=55;	55	55	55	0	0
centroid=F6_LB_6429;seqs=18;size=55;	55	55	55	0	0
centroid=F6_LB_454;seqs=1;size=1;	1	37	1	1	0
centroid=F5_LH_4495;seqs=8;size=11;	11	11	11	0	0
centroid=F5_LH_2430;seqs=2;size=2;	2	39	2	1	0
centroid=F6_LB_6389;seqs=19;size=42;	42	42	42	0	0
centroid=F2_H_689;seqs=1;size=1;	1	36	3	1	1
centroid=F6_LB_8494;seqs=2;size=2;	2	35	2	1	0
centroid=F5_LH_3254;seqs=4;size=7;	7	7	7	0	0
centroid=F5_LH_4877;seqs=1;size=4;	4	4	4	0	0
centroid=F5_LH_462;seqs=4;size=6;	6	6	6	0	0
centroid=F2_B2_55;seqs=1;size=1;	1	20	7	1	1
centroid=F5_LB_3341;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LB_2362;seqs=2;size=9;	9	9	9	0	0
centroid=F1_B1_2396;seqs=45;size=137;	137	137	137	0	0
centroid=F5_LH_2483;seqs=2;size=2;	2	9	2	1	0
centroid=F2_H_826;seqs=1;size=1;	1	43	1	1	0
centroid=F6_LB_2892;seqs=1;size=1;	1	2	1	1	0
centroid=F6_LH_6060;seqs=4;size=4;	4	157	4	1	0
centroid=F6_LB_6694;seqs=20;size=56;	56	56	56	0	0
centroid=F5_LB_877;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_3106;seqs=2;size=7;	7	7	7	0	0
centroid=F5_LB_2927;seqs=2;size=3;	3	3	3	0	0
centroid=F5_LB_2573;seqs=5;size=11;	11	11	11	0	0
centroid=F6_LH_3154;seqs=4;size=4;	4	77	4	1	0
centroid=F6_LB_7552;seqs=1;size=1;	1	35	52	1	1
centroid=F5_LH_5555;seqs=2;size=2;	2	2	2	0	0
centroid=F6_LB_8410;seqs=1;size=1;	1	3	1	1	0
centroid=F6_LH_7120;seqs=24;size=99;	99	99	99	0	0
centroid=F5_LH_5401;seqs=3;size=6;	6	6	6	0	0
centroid=F6_LB_7813;seqs=1;size=1;	1	58	1	1	0
centroid=F2_B2_666;seqs=1;size=1;	1	26	1	1	0
centroid=F6_LB_7194;seqs=1;size=1;	1	16	1	1	0
centroid=F5_LB_802;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_6233;seqs=3;size=3;	3	42	38	1	1
centroid=F5_LB_3271;seqs=3;size=6;	6	6	6	0	0
